[ SWEEP SETTINGS ],,,,,,,,,,,,,,,,,,
Bias & Step SMU NPLC,0.056,,,,,,,,,,,,,,,,,
Bias & Step SMU Auto Zero,ONCE,,,,,,,,,,,,,,,,,
Bias & Step SMU Source Delay,0 s,,,,,,,,,,,,,,,,,
Bias & Step SMU Measure Count,1,,,,,,,,,,,,,,,,,
Bias & Step SMU Measure Delay,0 s,,,,,,,,,,,,,,,,,
Bias & Step SMU Measure Delay Factor,1,,,,,,,,,,,,,,,,,
Bias & Step SMU Filter Type,OFF,,,,,,,,,,,,,,,,,
Bias & Step SMU Filter Count,Not Applicable,,,,,,,,,,,,,,,,,
Bias & Step SMU Analog Filter,OFF,,,,,,,,,,,,,,,,,
Sweep SMU Timing,Same as Bias & Step SMU,,,,,,,,,,,,,,,,,
Sweep SMU Sampling Interval,Not Applicable,,,,,,,,,,,,,,,,,
Sweep SMU Sampling Count,Not Applicable,,,,,,,,,,,,,,,,,
Sweep SMU Sampling Delay,Not Applicable,,,,,,,,,,,,,,,,,
Sweep SMU Sampling Analog Filter,Not Applicable,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Instrument Name,Bias_SMU,Sweep_SMU,,,,,,,,,,,,,,,,
Instrument ID,localnode.smub,localnode.smua,,,,,,,,,,,,,,,,
Assignment Type,Bias,Sweep,,,,,,,,,,,,,,,,
Source Function,voltage,voltage,,,,,,,,,,,,,,,,
Source Mode,Normal,Normal,,,,,,,,,,,,,,,,
Measure Function,current,current,,,,,,,,,,,,,,,,
Sense Mode,Two-Wire,Two-Wire,,,,,,,,,,,,,,,,
Asymptote,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,
Source Limit,1.0 mA,100.0 mA,,,,,,,,,,,,,,,,
Source Range,2 V,2 V,,,,,,,,,,,,,,,,
Bias Source Value,0.0 V,Not Applicable,,,,,,,,,,,,,,,,
Step/Sweep Start Level,Not Applicable,2.0 V,,,,,,,,,,,,,,,,
Step/Sweep Stop Level,Not Applicable,-2.0 V,,,,,,,,,,,,,,,,
Step/Sweep Style,Not Applicable,LIN,,,,,,,,,,,,,,,,
# of steps / sweep points,Not Applicable,60,,,,,,,,,,,,,,,,
Measure Range,100 mA,100 mA,,,,,,,,,,,,,,,,
